,r,s,p,elevation
0,119.99999999999999,23.79999999999999,0.0,-32.53124999999821
1,120.00982880979235,23.800066202292204,1.0,-31.069931347056166
2,120.01965762955544,23.80013178203358,2.0,-26.409105532485533
3,120.02948645919507,23.800196739221555,3.0,-25.129006950032412
4,120.0393152986171,23.80026107385359,4.0,-27.722860171832533
5,120.04914414772733,23.800324785927184,5.0,-30.405265909294215
6,120.05897300643164,23.800387875439842,6.0,-32.38064997395622
7,120.0688018746358,23.80045034238911,7.0,-32.80093089892787
8,120.07863075224567,23.800512186772547,8.0,-30.162911306915706
9,120.08845963916707,23.80057340858774,9.0,-26.02020701993686
10,120.09828853530584,23.800634007832304,10.0,-24.889693085714125
11,120.10811744056778,23.80069398450387,11.0,-24.076974966586402
12,120.11794635485872,23.8007533386001,12.0,-19.46263724000066
13,120.12777527808448,23.800812070118685,13.0,-17.317392910692547
14,120.1376042101509,23.800870179057327,14.0,-20.093578899645596
15,120.14743315096376,23.800927665413756,15.0,-23.977315077556156
16,120.15726210042891,23.800984529185733,16.0,-19.995220937876276
17,120.16709105845214,23.801040770371042,17.0,-9.679832292071909
18,120.17692002493928,23.801096388967483,18.0,-0.23863528430393732
19,120.18674899979611,23.801151384972894,19.0,8.836845998321532
20,120.1965779829285,23.801205758385116,20.0,11.26262362020878
21,120.20640697424221,23.801259509202048,21.0,10.034616362921277
22,120.21623597364308,23.801312637421574,22.0,8.395843218537156
23,120.22606498103688,23.80136514304163,23.0,8.930031655140414
24,120.23589399632944,23.801417026060165,24.0,2.2429579293832544
25,120.24572301942658,23.801468286475156,25.0,3.95904387322045
26,120.25555205023409,23.801518924284604,26.0,4.874610087935015
27,120.26538108865773,23.801568939486536,27.0,6.101974102677768
28,120.27521013460338,23.80161833207899,28.0,7.543142016821329
29,120.28503918797679,23.801667102060055,29.000000000000004,9.038206013500675
30,120.29486824868374,23.801715249427815,30.0,8.96878415087166
31,120.3046973166301,23.801762774180386,30.999999999999996,10.32246813476158
32,120.31452639172157,23.801809676315933,32.0,11.00046901445234
33,120.32435547386405,23.801855955832618,33.0,11.265145273349933
34,120.33418456296324,23.80190161272863,34.0,14.430538681724896
35,120.344013658925,23.801946647002193,35.0,12.963759433444144
36,120.35384276165509,23.801991058651545,36.0,14.506352603306926
37,120.36367187105928,23.80203484767496,37.0,15.635411619266181
38,120.37350098704343,23.80207801407073,38.0,16.087752982228785
39,120.38333010951327,23.80212055783716,39.0,17.990191531166904
40,120.3931592383746,23.802162478972598,40.0,18.956098747558226
41,120.40298837353319,23.802203777475405,41.0,21.030278407194967
42,120.4128175148949,23.802244453343977,42.0,22.54341893213455
43,120.42264666236542,23.802284506576726,43.0,22.968894740018133
44,120.4324758158506,23.80232393717208,44.0,25.208712746651976
45,120.44230497525616,23.8023627451285,45.0,27.958623371185226
46,120.45213414048796,23.802400930444485,46.0,30.962648576060495
47,120.46196331145174,23.80243849311854,47.0,32.28921904900507
48,120.47179248805327,23.8024754331492,48.0,31.02271862474737
49,120.48162167019835,23.802511750535007,49.0,29.744219616538775
50,120.49145085779274,23.80254744527457,50.0,29.334852414387896
51,120.50128005074225,23.802582517366478,51.0,29.78741003663973
52,120.51110924895262,23.80261696680937,52.0,32.090787099196355
53,120.52093845232966,23.802650793601906,53.0,34.39992771416433
54,120.5307676607791,23.802683997742758,54.0,33.22691302142586
55,120.54059687420676,23.80271657923063,55.0,36.95322645727005
56,120.55042609251838,23.80274853806426,56.0,40.2341620924636
57,120.56025531561977,23.802779874242386,57.0,45.22867551637819
58,120.57008454341666,23.8028105877638,58.00000000000001,51.8240601574739
59,120.57991377581486,23.8028406786273,59.0,56.22063674919789
60,120.58974301272012,23.80287014683171,60.0,61.29450243046394
61,120.5995722540382,23.80289899237588,61.0,71.21903722850016
62,120.60940149967489,23.802927215258684,61.99999999999999,80.2491350184894
63,120.61923074953594,23.802954815479016,63.0,84.51872057617375
64,120.62906000352713,23.80298179303581,64.0,93.7786646437647
65,120.63888926155425,23.80300814792801,65.0,104.71782357112875
66,120.64871852352303,23.803033880154587,66.0,142.41845761928997
67,120.65854778933925,23.803058989714533,67.0,161.6776266935914
68,120.66837705890867,23.80308347660687,68.0,123.60003150668271
69,120.67820633213707,23.803107340830646,69.0,131.3335842110789
70,120.68803560893019,23.80313058238492,70.0,135.29017820328605
71,120.69786488919381,23.803153201268795,71.0,141.05486674784268
72,120.7076941728337,23.803175197481394,72.0,147.92250485070517
73,120.71752345975561,23.803196571021846,73.0,195.9881401684988
74,120.72735274986529,23.80321732188932,74.0,250.11013812993417
75,120.73718204306856,23.803237450083007,75.0,250.5442136392993
76,120.7470113392711,23.803256955602127,76.0,281.64512746205196
77,120.75684063837872,23.80327583844591,77.0,534.2071593684803
78,120.76666994029718,23.803294098613627,78.0,416.35189441541337
79,120.77649924493222,23.803311736104565,79.0,339.7840687429722
80,120.78632855218962,23.80332875091803,80.0,225.4698921516413
81,120.79615786197513,23.803345143053367,81.0,337.8834195058711
82,120.8059871741945,23.803360912509923,82.0,406.2318552534378
83,120.81581648875351,23.803376059287093,83.0,479.089676784165
84,120.82564580555788,23.803390583384278,84.0,328.4845525839558
85,120.83547512451341,23.80340448480093,85.0,316.4282480479996
86,120.84530444552584,23.803417763536483,86.0,314.82602455816925
87,120.85513376850092,23.803430419590434,87.0,283.1403172412332
88,120.86496309334441,23.80344245296228,88.0,377.9830244569861
89,120.87479241996208,23.80345386365156,89.0,531.136236401284
90,120.88462174825965,23.80346465165782,90.0,678.3623271789631
91,120.89445107814292,23.803474816980643,91.0,795.394831084838
92,120.90428040951763,23.803484359619638,92.0,656.7635235763604
93,120.9141097422895,23.803493279574425,93.0,512.0770790718304
94,120.92393907636435,23.80350157684466,94.0,480.1901293326733
95,120.93376841164789,23.803509251430018,95.0,610.9771880384357
96,120.94359774804589,23.8035163033302,96.0,613.7579500357047
97,120.9534270854641,23.803522732544923,97.0,974.5100503774242
98,120.96325642380829,23.803528539073955,98.0,924.3231896307339
99,120.97308576298417,23.803533722917056,99.0,845.2358392936404
100,120.98291510289754,23.80353828407402,100.0,754.6057238934599
101,120.99274444345414,23.803542222544674,101.0,800.5625497674341
102,121.00257378455971,23.803545538328862,102.0,592.6242953171626
103,121.01240312612002,23.80354823142647,103.0,647.1181225561703
104,121.02223246804084,23.803550301837372,104.0,673.6050326838325
105,121.03206181022787,23.80355174956149,105.0,665.1234417049301
106,121.0418911525869,23.803552574598783,106.0,739.5777394358603
107,121.0517204950237,23.803552776949203,107.0,729.2920360383495
108,121.06154983744399,23.80355235661275,108.0,1051.8079278408795
109,121.07137917975354,23.80355131358944,109.0,1250.2565211334604
110,121.0812085218581,23.80354964787931,110.0,1281.5544791182037
111,121.09103786366342,23.803547359482433,111.0,1483.4227401719343
112,121.10086720507526,23.80354444839889,112.0,1635.9106212133368
113,121.11069654599939,23.803540914628794,113.0,2005.9318694782587
114,121.12052588634153,23.803536758172285,114.0,2018.8359536434214
115,121.13035522600744,23.803531979029525,115.00000000000001,1601.7951137889872
116,121.14018456490288,23.80352657720071,116.00000000000001,1766.632715386625
117,121.15001390293362,23.803520552686035,116.99999999999999,1761.101425648839
118,121.1598432400054,23.803513905485744,118.0,2060.619898460739
119,121.169672576024,23.803506635600094,119.0,2002.8493367382318
120,121.17950191089511,23.803498743029373,120.0,2161.0360975423396
121,121.18933124452455,23.803490227773885,121.0,2116.8910864612567
122,121.19916057681804,23.80348108983395,122.0,2207.0872083212607
123,121.20898990768137,23.80347132920996,123.00000000000001,2500.4932114827734
124,121.21881923702026,23.80346094590226,123.99999999999999,2622.2812437945163
125,121.22864856474047,23.803449939911268,124.99999999999999,2585.609385192815
126,121.23847789074775,23.803438311237414,126.0,2365.3624112573684
127,121.24830721494787,23.803426059881154,127.0,1921.7891209107036
128,121.25813653724663,23.803413185842956,128.0,1713.5632437799172
129,121.26796585754968,23.803399689123342,129.0,1294.9737624136505
130,121.27779517576289,23.80338556972282,130.0,1600.7876130381408
131,121.28762449179193,23.80337082764195,131.0,1767.9706489268915
132,121.29745380554262,23.803355462881296,132.0,1619.8656940482672
133,121.30728311692069,23.803339475441472,133.0,1789.3617787011767
134,121.3171124258319,23.803322865323096,134.0,1897.9665373530363
135,121.32694173218198,23.80330563252682,135.0,1449.16989424754
136,121.33677103587675,23.803287777053306,136.0,1672.2551150050595
137,121.34660033682191,23.803269298903256,137.0,2024.0306487338794
138,121.35642963492327,23.8032501980774,138.0,1493.1987929846616
139,121.36625893008657,23.803230474576466,139.0,1167.3816243982978
140,121.37608822221758,23.803210128401243,140.0,1318.9094489672846
141,121.38591751122205,23.803189159552502,141.0,1443.5613595066218
142,121.39574679700571,23.803167568031085,142.0,1682.8461418004258
143,121.40557607947437,23.803145353837824,143.0,1276.452165074993
144,121.4154053585338,23.803122516973577,144.0,735.1306009625819
145,121.42523463408972,23.80309905743925,145.0,474.0061610585868
146,121.43506390604794,23.80307497523575,146.0,280.2988456082966
147,121.44489317431417,23.803050270364015,147.0,160.7177042427725
148,121.45472243879424,23.803024942825015,148.0,152.38671017142624
149,121.46455169939385,23.802998992619735,149.0,136.50826752316294
150,121.47438095601883,23.802972419749185,150.0,121.55319382377427
151,121.48421020857488,23.80294522421441,151.0,105.96296635067809
152,121.49403945696781,23.802917406016462,152.0,92.62614763852704
153,121.50386870110341,23.802888965156434,153.0,77.6189168995443
154,121.5136979408874,23.80285990163543,154.0,65.3527168357098
155,121.52352717622558,23.802830215454584,155.0,63.88323433798866
156,121.53335640702369,23.802799906615057,156.0,326.0562526466787
157,121.54318563318755,23.802768975118035,157.0,365.66835719577233
158,121.55301485462286,23.80273742096472,158.0,141.7127069298708
159,121.56284407123546,23.80270524415634,159.0,235.86721829470883
160,121.5726732829311,23.802672444694156,160.0,-3.956175272769511
161,121.58250248961556,23.802639022579445,161.0,-11.731862204768772
162,121.5923316911946,23.80260497781352,162.0,-30.26723154232322
163,121.602160887574,23.802570310397694,163.0,-105.59597287920579
164,121.61199007865955,23.802535020333323,164.0,-233.23129081085176
165,121.621819264357,23.8024991076218,165.0,-459.26293028067073
166,121.63164844457212,23.802462572264506,166.0,-680.1302487508012
167,121.64147761921078,23.80242541426287,167.0,-1190.425110088567
168,121.65130678817864,23.80238763361836,168.0,-1578.9735556843273
169,121.66113595138157,23.802349230332428,169.0,-1822.4949377866992
170,121.67096510872528,23.802310204406584,170.0,-2139.036609142244
171,121.6807942601156,23.802270555842348,171.0,-2158.9066292123744
172,121.69062340545831,23.80223028464126,172.0,-2328.642688903179
173,121.70045254465917,23.802189390804905,173.0,-2539.1128549824666
174,121.710281677624,23.802147874334867,174.0,-2768.6826619970157
175,121.72011080425855,23.802105735232775,175.0,-3016.1647465220767
176,121.72993992446865,23.80206297350027,176.0,-3317.886609435822
177,121.73976903816003,23.802019589139014,177.0,-3641.0709020497206
178,121.74959814523852,23.801975582150707,178.0,-3855.763037036406
179,121.75942724560993,23.801930952537056,179.0,-3956.668302386206
180,121.76925633917999,23.80188570029982,180.0,-3870.6989818104535
181,121.77908542585455,23.801839825440748,181.0,-3866.581591156135
182,121.78891450553938,23.80179332796164,182.0,-3991.754614201245
183,121.79874357814026,23.8017462078643,183.0,-4075.825020637203
184,121.80857264356301,23.80169846515058,184.0,-4136.315987976202
185,121.81840170171341,23.801650099822336,185.0,-4234.755619872291
186,121.82823075249726,23.80160111188145,186.0,-4252.521923529382
187,121.83805979582037,23.80155150132984,187.0,-4168.009098595558
188,121.84788883158853,23.801501268169435,188.0,-4040.9787834032704
189,121.85771785970755,23.8014504124022,189.0,-3876.7138120315076
190,121.86754688008324,23.801398934030125,190.0,-3692.996878381313
191,121.87737589262137,23.801346833055206,191.0,-3505.2806729913873
192,121.88720489722778,23.801294109479482,192.0,-3326.7389915009508
193,121.89703389380826,23.80124076330501,193.0,-3172.367398147002
194,121.90686288226863,23.801186794533873,194.0,-3055.072311877852
195,121.91669186251467,23.801132203168173,195.0,-2975.796466700226
196,121.92652083445222,23.80107698921004,196.0,-2915.9572730055274
197,121.93634979798709,23.801021152661626,197.0,-2874.4656185050967
198,121.94617875302507,23.800964693525117,198.0,-2851.3154675665696
199,121.956007699472,23.80090761180271,199.0,-2831.5572866647253
200,121.96583663723366,23.800849907496637,200.0,-2812.960811302715
201,121.97566556621591,23.80079158060914,201.0,-2807.4740150509315
202,121.98549448632455,23.800732631142505,202.0,-2829.0158748357635
203,121.9953233974654,23.800673059099022,203.0,-2863.146050393967
204,122.00515229954426,23.800612864481025,204.0,-2893.7168087322107
205,122.014981192467,23.80055204729085,205.0,-2803.0392517280825
206,122.0248100761394,23.800490607530886,206.0,-2716.0872117893855
207,122.0346389504673,23.80042854520352,207.0,-2745.8032206171515
208,122.04446781535654,23.800365860311175,208.0,-2867.306450150308
209,122.05429667071292,23.800302552856287,209.0,-2898.233816390788
210,122.06412551644227,23.80023862284134,210.0,-2969.661201593955
211,122.07395435245047,23.80017407026883,211.0,-3005.9077599707803
212,122.0837831786433,23.80010889514126,212.0,-3122.8476757291082
213,122.0936119949266,23.800043097461188,213.0,-3160.3868887915537
214,122.10000000000022,23.799999999999986,213.64992673046424,-3158.3769531247654
